mlp_index,mse_b8,mse_b16,mse_b32,mse_b64
24,1.2303464245633222e-05,4.855838596995454e-06,1.4268782706494676e-06,4.334552556883864e-07
25,3.838604243355803e-06,1.4725386563441134e-06,1.1336298939568223e-06,5.904306021875527e-07
26,4.982011887477711e-06,2.8360200303723104e-06,1.205572175422276e-06,9.552564961268217e-07
27,3.2054099392553326e-06,1.8376770185568603e-06,9.98530481410853e-07,2.8419333375495626e-07
28,3.837773419945734e-06,3.09044753521448e-06,2.3305394734052243e-06,3.9935741824592697e-07
29,1.7154627585114213e-06,1.356696543552971e-06,7.486992785743496e-07,6.877423857076792e-07
30,5.244754447630839e-06,2.197180947405286e-06,9.942259566741996e-07,1.414764255969203e-06
31,2.965036401292309e-06,1.9925037122447975e-06,3.5856697877534316e-07,2.4943869902926963e-07
32,3.783446345551056e-06,1.1272165920672705e-06,6.47852175461594e-07,4.6943421239120653e-07
33,8.468972737318836e-06,2.0378408862598008e-06,1.0675578323571244e-06,3.0625500357928104e-07
34,1.2326953537922236e-06,2.124797902069986e-06,8.494242251799733e-07,2.737781983341847e-07
35,1.0801890311995521e-05,5.542855888052145e-06,2.7306539323035395e-06,8.821835990602267e-07
36,1.9728222468984313e-06,1.4529308600685908e-06,1.0687389249142143e-06,5.048681259722798e-07
37,5.024344318371732e-06,1.8676089439395582e-06,1.1011164815499797e-06,2.717660549933498e-07
38,1.3237718121672515e-06,1.796261926756415e-06,1.0104979537572945e-06,5.454998017739854e-07
39,2.7887563192052767e-06,1.2766229247063166e-06,3.7015894349679e-07,2.449062890264031e-07
40,2.368645255046431e-06,1.9677358977787662e-06,6.776484724468901e-07,1.4261898684253538e-07
41,3.6754454413312487e-06,1.1716002745743026e-06,7.603570679748373e-07,4.888592002316727e-07
42,5.91230900681694e-06,2.354730895604007e-06,3.715533694048645e-07,3.407753297324234e-07
43,3.166451733704889e-06,1.69378313330526e-06,8.721179938220303e-07,4.979162895324407e-07
44,3.5369507713767234e-06,3.2959951568045653e-07,5.005142611480551e-07,2.8748178237947286e-07
45,1.4043584997125436e-06,1.1835059012810234e-06,6.778834631404607e-07,2.8422005016182084e-07
46,2.7274677449895535e-06,1.3182043403503485e-06,4.364163430636836e-07,4.850438699577353e-07
47,4.3034201553382445e-06,2.819892415573122e-06,1.6917317680054111e-06,8.98152393347118e-07
48,3.274732534919167e-06,1.6408380361099262e-06,1.0238750292046461e-06,4.7663465352343337e-07
49,5.970977781544207e-06,1.7886925434140721e-06,1.464171077714127e-06,3.5804441722575575e-07
50,6.9393522608152125e-06,1.3863525509805186e-06,6.9040052039781585e-06,1.6658439108141465e-06
51,2.304091594851343e-06,1.311679852733505e-06,1.279835032619303e-06,4.816506020688394e-07
52,2.5338390514662024e-06,2.1746936909039505e-06,7.871129241721064e-07,3.343485559526016e-07
53,1.3540512554754969e-05,2.964030954899499e-06,1.4766237654839642e-06,2.2307003746391274e-06
54,4.623546374205034e-06,2.423710157017922e-06,1.956307414729963e-06,6.089010753385082e-07
55,3.483489763311809e-06,1.5749430986033985e-06,8.258843990915921e-07,4.2561970303722774e-07
56,2.5812450985540636e-06,4.647518380807014e-06,2.931656126747839e-06,7.754248940727848e-07
57,5.037237770011416e-06,1.8583242535896716e-06,8.128577064780984e-07,
58,4.2189640225842595e-06,7.035495173113304e-07,3.677158417758619e-07,8.072574360085127e-07
59,2.8929564450663747e-06,2.7442138161859475e-06,2.3988411612663185e-06,9.523124049337639e-07
60,1.0882620699703693e-05,4.541257112578023e-06,3.5075970572506776e-06,1.2450725535018137e-06
61,2.8036679395881947e-06,1.3584838143287925e-06,9.964364835468587e-07,2.0002163125809602e-07
62,3.6563319554261398e-06,5.825438051942911e-07,2.7890581577594276e-07,
63,1.0872716302401386e-05,4.072714546055067e-06,1.9680560399137903e-06,1.1660407608360401e-06
64,2.3578461423312547e-06,1.036678213495179e-06,6.547165867232252e-07,6.322455874396837e-07
65,2.4690937152627157e-06,2.999654498125892e-06,6.255275479816191e-07,4.2399139488225046e-07
